"Create an iDEAL profile and save your address for your next order","Maak een iDEAL-profiel aan en sla uw adres op voor uw volgende bestelling"
"Checkout with","Checkout met"
"Enable iDEAL Fast Checkout","Enable iDEAL Fast Checkout"
"Enter my own address and pay","Enter my own address and pay"
"Fast Checkout","Fast Checkout"
"Order faster","Order faster"
"PAY. options","PAY. options"
"Toggle this setting to enable or disable PAY iDEAL Fast Checkout options within the checkout.","Toggle this setting to enable or disable PAY iDEAL Fast Checkout options within the checkout."
"with iDEAL fast checkout","with iDEAL fast checkout"
